"C","sigma","ROC","Sens","Spec"
500,0.01,0.874065395338463,0.87431693989071,0.774285714285714
750,0.01,0.872931526709044,0.870874316939891,0.774367346938776
1000,0.01,0.871737258837962,0.864262295081967,0.786448979591837
1,0.05,0.926006245120999,0.893825136612022,0.819020408163265
5,0.05,0.91677218690755,0.907103825136612,0.81869387755102
10,0.05,0.907910516337683,0.880765027322404,0.810530612244898
20,0.05,0.899966387866622,0.874153005464481,0.798367346938776
50,0.05,0.890543905431025,0.857595628415301,0.79469387755102
100,0.05,0.884043180550909,0.857540983606557,0.782612244897959
150,0.05,0.882316159250585,0.847540983606557,0.782612244897959
200,0.05,0.882126486004237,0.854207650273224,0.778612244897959
250,0.05,0.881255447752872,0.831147540983607,0.782612244897959
500,0.05,0.880911475409836,0.837704918032787,0.778530612244898
750,0.05,0.879295996431359,0.837704918032787,0.778530612244898
1000,0.05,0.879604906880785,0.841147540983606,0.766448979591837
1,0.1,0.922995293855247,0.903770491803279,0.81469387755102
5,0.1,0.908559540537527,0.870765027322404,0.814530612244898
10,0.1,0.901299654287945,0.870928961748634,0.810530612244898
20,0.1,0.897569242779079,0.877540983606557,0.806612244897959
50,0.1,0.891534827701572,0.864207650273224,0.802612244897959
100,0.1,0.88676968885915,0.867486338797814,0.790448979591837
150,0.1,0.885011464257834,0.867486338797814,0.79469387755102
200,0.1,0.885893364558938,0.847704918032787,0.786530612244898
250,0.1,0.885954031448645,0.860928961748634,0.794612244897959
500,0.1,0.885954031448645,0.854371584699454,0.790612244897959
750,0.1,0.885954031448645,0.844371584699453,0.794612244897959
1000,0.1,0.885954031448645,0.850928961748634,0.78669387755102
